entry,exit,qty,pnl,net_pnl,return,reason
292.2,286.356,5,-2921.9999999999973,-2996.9999999999973,-2.0513347022587247,SL
496.0,486.08,6,-5952.000000000009,-6027.000000000009,-2.025201612903229,SL
234.0,229.32,11,-5148.000000000007,-5223.000000000007,-2.029137529137532,SL
233.1,228.438,9,-4195.800000000006,-4270.800000000006,-2.035750035750038,SL
264.7,259.406,16,-8470.399999999972,-8545.399999999972,-2.0177087268605907,SL
248.0,247.9,14,-139.99999999999204,-214.99999999999204,-0.061923963133638266,Signal
300.1,294.098,9,-5401.800000000008,-5476.800000000008,-2.027768521603913,SL
212.3,208.054,19,-8067.400000000018,-8142.400000000018,-2.018593351017681,SL
273.3,267.834,11,-6012.6000000000095,-6087.6000000000095,-2.0249476100189634,SL
560.0,548.8,6,-6720.000000000027,-6795.000000000027,-2.022321428571437,SL
421.8,413.364,9,-7592.400000000032,-7667.400000000032,-2.0197565987039754,SL
481.7,472.066,4,-3853.600000000006,-3928.600000000006,-2.0389246418932974,SL
476.6,467.06800000000004,6,-5719.19999999999,-5794.19999999999,-2.026227444397814,SL
576.8,565.2639999999999,4,-4614.400000000023,-4689.400000000023,-2.0325069348127704,SL
355.0,347.9,6,-4260.000000000014,-4335.000000000014,-2.03521126760564,SL
770.0,754.6,7,-10779.999999999984,-10854.999999999984,-2.0139146567717967,SL
449.6,440.608,11,-9891.20000000002,-9966.20000000002,-2.0151649951472055,SL
343.0,336.14,7,-4802.000000000009,-4877.000000000009,-2.031236984589758,SL
310.1,303.898,6,-3721.199999999999,-3796.199999999999,-2.0403095775556266,SL
349.2,342.216,5,-3491.99999999999,-3566.99999999999,-2.0429553264604756,SL
320.0,313.6,7,-4479.999999999984,-4554.999999999984,-2.0334821428571357,SL
348.0,341.04,10,-6959.99999999998,-7034.99999999998,-2.0215517241379253,SL
265.6,260.288,12,-6374.400000000014,-6449.400000000014,-2.0235316265060286,SL
331.0,324.38,16,-10592.000000000007,-10667.000000000007,-2.014161631419941,SL
341.9,335.06199999999995,11,-7521.800000000025,-7596.800000000025,-2.0199420351511677,SL
345.0,338.09999999999997,9,-6210.000000000031,-6285.000000000031,-2.0241545893719906,SL
342.1,420.83000000000004,7,55111.000000000015,55036.000000000015,22.982419509750702,SL
